Column1;Timestamp;Name;Address;Postcode;Industry;Subindustry;Accepted_payment_methods;Most_used_method;Preferred_method
E02000812;;G?NG;Level 52, Shangri-La The Shard, 31 St Thomas St, London SE1 9QU, United Kingdom;SE1 9QU;Hospitality ;Bar ;Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02000812;;Hej Coffee - Bermondsey;1 Bermondsey Sq, London SE1 3UN, United Kingdom;SE1 3UN;Hospitality ;Coffee Related;Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02000574;;Niche Gluten-free Dining;197-199 Rosebery Ave, London EC1R 4TJ, United Kingdom;EC1R 4TJ;Hospitality ;Restaurant (Dine-in);Cash, Debit Card, Credit Card;Credit Card;Cash
E02000262;;The Kings Head Pub;214 High St, London W3 9NX, United Kingdom;W3 9NX;Hospitality ;Pub;Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02006801;;The Hole In The Wall;5 Mepham St, London SE1 8SQ, United Kingdom;SE1 8SQ;Hospitality ;Pub;Cash, Debit Card, Credit Card;Debit Card;Cash
E02000864;;White Post. Pub & Bar;Building 4, 92 Schwartz Wharf, White Post Ln, London E9 5EN, United Kingdom;E9 5EN;Hospitality ;Bar ;Cash, Debit Card, Credit Card;Debit Card;Cash
E02000864;;Two More Years;7 Roach Rd, Fish Island, London E3 2PA, United Kingdom;E3 2PA;Hospitality ;Bar ;Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02000864;;Silo London;Unit 7, The white building, 1st Floor,c/o CRATE Bar, Unit 7 Queen's Yard, London E9 5EN, United Kingdom;E9 5EN;Hospitality ;Restaurant (Dine-in);Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02000575;;The Chocolate Cocktail Club;72 St John St, London EC1M 4DT, United Kingdom;EC1M 4DT;Hospitality ;Bar ;Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02000575;;The Holy Tavern;55 Britton St, London EC1M 5UQ, United Kingdom;EC1M 5UQ;Hospitality ;Pub;Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02000575;;Look mum no hands!;49 Old St, London EC1V 9HX, United Kingdom;EC1V 9HX;Hospitality ;Coffee Related;Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02000575;;St. JOHN Restaurant;26 St John St, Barbican, London EC1M 4AY, United Kingdom;EC1M 4AY;Hospitality ;Restaurant (Dine-in);Cash, Debit Card, Credit Card;Credit Card;Credit Card
E02000575;;Dans le Noir ? London Restaurant;69-73 St John St, London EC1M 4NJ, United Kingdom;EC1M 4NJ;Hospitality ;Restaurant (Dine-in);Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02000370;;The Wenlock Arms;26 Wenlock Rd, London N1 7TA, United Kingdom;N1 7TA;Hospitality ;Pub;Cash, Debit Card, Credit Card;Debit Card;Cash
E02000193;;The Atlantis Bookshop;49A Museum St, London , United Kingdom;WC1A 1LY;Consumer Goods;Specialest Store;Cash, Debit Card, Credit Card;Contactless;Debit Card
E02000193;;Little Waitrose & Partners High Holborn;246 High Holborn, London , United Kingdom;WC1V 7EX;Consumer Goods;Supermarket;Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02000193;;Monmouth Coffee Company;27 Monmouth St, London WC2H 9EU, United Kingdom;WC2H 9EU;Hospitality ;Coffee Related;Cash;Cash;Cash
E02000193;;EspressoBase Speciality coffee;St Georges Court, Bloomsbury Way, London WC1A 2SE, United Kingdom;WC1A 2SE;Hospitality ;Coffee Related;Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02000166;;Southampton Arms;139 Highgate Rd, London NW5 1LE, United Kingdom;NW5 1LE;Hospitality ;Pub;Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02006932;;Liverpool Arts Bar;22 Hope St, Liverpool L1 9BY, United Kingdom;L1 9BY;Hospitality ;Bar ;Cash, Debit Card, Credit Card;Contactless;Credit Card
E02000364;;Ridley Road Market Bar;49 Ridley Rd, London E8 2NP, United Kingdom;E8 2NP;Hospitality ;Bar ;Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02000813;;The Mayflower Pub;117 Rotherhithe St, London SE16 4NF, United Kingdom;SE16 4NF;Hospitality ;Pub;Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02003517;;Pelicano Coffee Co.;28 Sydney St, Brighton BN1 4EP, United Kingdom;BN1 4EP;Hospitality ;Coffee Related;Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02003517;;England at Home;59 Ship St, Brighton BN1 1AE, United Kingdom;BN1 1AE;Consumer Goods;Discount Store;Cash;Cash;Cash
E02000869;;Well & Bucket;143 Bethnal Grn Rd, London E2 7DG, United Kingdom;E2 7DG;Hospitality ;Pub;Cash, Debit Card, Credit Card;Debit Card;Cash
E02000876;;The Blind Beggar;337 Whitechapel Rd, London E1 1BU, United Kingdom;E1 1BU;Hospitality ;Pub;Cash;Cash;Cash
E02000590;;Europafoodxb South Kensington;32 Thurloe Pl, South Kensington, London , United Kingdom;SW7 2HQ;Consumer Goods;Supermarket;Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02000872;;Blank Street Coffee;3 Redchurch St, London E2 7DJ, United Kingdom;E2 7DJ;Hospitality ;Coffee Related;Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02003246;;New England Supermarket;609 Lincoln Rd, Peterborough PE1 3HA, United Kingdom;PE1 3HA;Consumer Goods;Supermarket;Cash, Debit Card, Credit Card;Contactless;Debit Card
E02000576;;Ozone Coffee Roasters, Shoreditch;11 Leonard St, London EC2A 4AQ, United Kingdom;EC2A 4AQ;Hospitality ;Coffee Related;Cash, Debit Card, Credit Card;Contactless;Debit Card
E02006851;;The Distillery;27 Market St, Leicester LE1 6DN, United Kingdom;LE1 6DN;Hospitality ;Pub;Cash, Debit Card, Credit Card;Debit Card;Cash
E02006851;;Lidl;Burton St, Leicester LE1 1TE, United Kingdom;LE1 1TE;Consumer Goods;Supermarket;Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02000192;;The Duke;7 Roger St, London WC1N 2PB, United Kingdom;WC1N 2PB;Hospitality ;Pub;Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02000192;;The Lamb ;94 Lamb's Conduit St, London WC1N 1EA, United Kingdom;WC1N 1EA;Hospitality ;Pub;Cash;Cash;Cash
E02000192;;Prufrock Coffee;23-25 Leather Ln, London EC1N 7TE, United Kingdom;EC1N 7TE;Hospitality ;Coffee Related;Cash, Debit Card, Credit Card;Debit Card;Cash
E02000878;;Nude Coffee Roasters;25 Hanbury St, London E1 6QR, United Kingdom;E1 6QR;Hospitality ;Coffee Related;Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02001988;;Golden Cross;8 Hay Ln, Coventry CV1 5RF, United Kingdom;CV1 5RF;Hospitality ;Pub;Cash, Debit Card, Credit Card;Contactless;Debit Card
E02001988;;Top Express;8 Shelton Square, Coventry CV1 1DG, United Kingdom;CV1 1DG;Consumer Goods;Supermarket;Cash, Debit Card, Credit Card;Cash;Debit Card
E02000580;;The Ledbury;127 Ledbury Rd, London W11 2AQ, United Kingdom;W11 2AQ;Hospitality ;Restaurant (Dine-in);Cash, Debit Card, Credit Card;Debit Card;Cash
E02003570;;Bring & Mix - Southampton;36 Upper Bannister St, Southampton SO15 2DG, United Kingdom;SO15 2DG;Hospitality ;Bar ;Cash, Debit Card, Credit Card;Contactless;Debit Card
E02001063;;Hyatt Regency Manchester;55 Booth St W, Manchester M15 6PQ, United Kingdom;M15 6PQ;Hospitality ;Hotel;Cash, Debit Card, Credit Card;Contactless;Debit Card
E02001632;;Frazer's Coffee Roasters;46-47 Wilson St, Neepsend, Sheffield S3 8DD, United Kingdom;S3 8DD;Hospitality ;Coffee Related;Cash, Debit Card, Credit Card;Contactless;Debit Card
E02002057;;Legends Cafe and Sports Bar;1-3, Unity Walk, Owen St, Tipton DY4 8EX, United Kingdom;DY4 8EX;Hospitality ;Bar ;Cash, Debit Card, Credit Card;Cash;Cash
E02002143;;Johal Supermarket;19 W Bromwich Rd, Walsall WS1 3HS, United Kingdom;WS1 3HS;Consumer Goods;Supermarket;Cash, Debit Card, Credit Card;Contactless;Debit Card
E02002139;;Coffee Republic;Sister Dora Buildings, CO-OP 1, The Bridge, Walsall WS1 1LW, United Kingdom;WS1 1LW;Hospitality ;Coffee Related;Cash;Cash;Cash
E02002680;;The Whalebone;165 Wincolmlee, Hull HU2 0PA, United Kingdom;HU2 0PA;Hospitality ;Pub;Cash;Cash;Cash
E02002168;;Cafe Royale;62 Victoria St, Mander Centre, Wolverhampton WV1 3NX, United Kingdom;WV1 3NX;Hospitality ;Coffee Related;Cash, Debit Card, Credit Card;Contactless;Debit Card
E02001869;;Middle England;1 Devon St, Birmingham B7 4SL, United Kingdom;B7 4SL;Consumer Goods;Discount Store;Cash;Cash;Cash
E02000189;;The Queens Head;66 Acton St, London WC1X 8DU, United Kingdom;WC1X 8DU;Hospitality ;Pub;Cash, Debit Card, Credit Card;Debit Card;Cash
E02000190;;Judd Books;82 Marchmont St, London , United Kingdom;WC1N 1AG;Consumer Goods;Specialest Store;Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02000257;;Ealing Broadway;The Broadway, London , United Kingdom;W5 5JY;Consumer Goods;Specialest Store;Debit Card, Credit Card;Debit Card;Debit Card
E02000371;;The Macbeth;70 Hoxton St, London N1 6LP, United Kingdom;N1 6LP;Hospitality ;Bar ;Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02000371;;Lyle's;Tea Building, 56 Shoreditch High St, London E1 6GY, United Kingdom;E1 6GY;Hospitality ;Restaurant (Dine-in);Cash, Debit Card, Credit Card;Credit Card;Debit Card
E02000371;;The Clove Club;Shoreditch Town Hall, 380 Old St, London EC1V 9LT, United Kingdom;EC1V 9LT;Hospitality ;Restaurant (Dine-in);Cash, Debit Card, Credit Card;Credit Card;Credit Card
E02000809;;WatchHouse Bermondsey;199 Bermondsey St, London SE1 3UW, United Kingdom;SE1 3UW;Hospitality ;Coffee Related;Debit Card, Credit Card;Debit Card;Debit Card
E02000809;;Restaurant Story;199 Tooley St, London SE1 2JX, United Kingdom;SE1 2JX;Hospitality ;Restaurant (Dine-in);Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02000809;;Butlers Wharf Chop House;36e Shad Thames, London SE1 2PJ, United Kingdom;SE1 2PJ;Hospitality ;Restaurant (Dine-in);Cash, Debit Card, Credit Card;Credit Card;Debit Card
E02001178;;Premier Inn Manchester City Centre (Arena/Printworks) hotel;North Tower, Victoria Bridge St, Salford M3 5AS, United Kingdom;M3 5AS;Hospitality ;Hotel;Cash, Debit Card, Credit Card;Debit Card;Credit Card
E02001733;;Free Trade Inn;Free Trade Inn, 12 St Lawrence Rd, Newcastle upon Tyne NE6 1AP, United Kingdom;NE6 1AP;Hospitality ;Pub;Cash, Debit Card, Credit Card;Debit Card;Debit Card
